Timestamp, TargetID, X_mm,Y_mm, IsConfirmedHuman
68017,0,1060,1365,1728,0,1

68017,1,215,225,311,8,1

68106,0,1060,1365,1728,0,1

68106,1,216,205,298,16,1

68195,0,1060,1365,1728,0,1

68195,1,229,216,315,0,1

68284,0,1060,1365,1728,0,1

68284,1,248,218,330,0,1

68373,0,1060,1365,1728,0,1

68373,1,266,238,357,0,1

68462,0,1060,1365,1728,0,1

68462,1,290,242,378,0,1

68551,0,1060,1365,1728,0,1

68551,1,308,236,388,8,1

68640,0,1060,1365,1728,0,1

68640,1,307,228,382,-8,1

68729,0,1060,1365,1728,0,1

68729,1,289,232,371,-16,1

68818,0,1060,1365,1728,0,1

68818,1,277,224,356,0,1

68907,0,1060,1365,1728,0,1

68907,1,273,224,353,0,1

68996,0,1060,1365,1728,0,1

68996,1,266,206,336,24,1

69085,0,1061,1382,1742,0,1

69085,1,242,222,328,0,1

69174,0,1061,1398,1755,0,1

69174,1,242,228,332,0,1

69263,0,1062,1414,1768,0,1

69263,1,215,242,324,0,1

69352,0,1062,1430,1781,0,1

69352,1,225,256,341,0,1

69441,0,1062,1445,1793,0,1

69441,1,262,266,373,0,1

69530,0,1062,1459,1805,0,1

69530,1,287,273,396,0,1

69619,0,1063,1473,1817,0,1

69619,1,320,264,415,0,1

69708,0,1057,1490,1827,0,1

69708,1,348,257,433,0,1

69797,0,1051,1508,1838,0,1

69797,1,358,281,455,0,1

69886,0,1046,1522,1847,0,1

69886,1,335,280,437,0,1

69975,0,1042,1534,1854,0,1

69975,1,314,254,404,-16,1

70064,0,1038,1546,1862,0,1

70064,1,326,242,406,0,1

70153,0,1035,1557,1870,0,1

70153,1,329,218,395,8,1

70242,0,1031,1568,1877,0,1

70242,1,321,212,385,24,1

70331,0,1028,1579,1884,0,1

70331,1,312,210,376,16,1

70420,0,1024,1589,1890,0,1

70420,1,295,217,366,0,1

70509,0,1021,1599,1897,0,1

70509,1,284,224,362,0,1

70598,0,1018,1608,1903,0,1

70598,1,279,236,365,8,1

